title,content,category,predicted_category
"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced",,Others,Others
Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell,,Others,Others
Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory,• foxdominion trial delay unusual judge says • fox news defamation battle isnt stopping trumps election lies,Others,Others
Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case',judge announced court settlement reached historic defamation case fox news dominion voting systems,Others,Others
'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement,settlement reached dominion voting systems defamation case fox news judge case announced network pay 787 million dominion lawyer company said,Others,Others
Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden,• desantis goes washington place despised looking support take trump • opinion gop win must ditch trump • chris christie mulling 2024 white house bid • analysis fire next time begun burning tennessee,Others,Others
White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges,• major part ralph died aunt teen shot ringing wrong doorbell speaks • 20yearold woman shot friend turned wrong driveway upstate new york officials say,Others,Others
Newly released video shows scene of Jeremy Renner's snowplow accident,newly released body camera footage shows firefighters sheriffs deputies rushing help actor jeremy renner nearfatal snowplow accident january avengers actor broke 30 bones suffered severe injuries cnns chloe melas,Others,Others
Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together,sourdough bread handstands jake gyllenhaal jamie lee curtis,Others,Others
"Toddler crawls through White House fence, prompts Secret Service response",tiny intruder infiltrated white house grounds tuesday prompting swift response us secret service,Others,Others
Jamie Foxx remains hospitalized nearly a week after 'medical complication',jamie foxx remains hospitalized georgia nearly week daughter revealed actor experienced medical complication source knowledge matter told cnn monday,Others,Others
A 13-year-old dies after participating in a Benadryl TikTok 'challenge',13yearold ohio died took bunch benadryl trying dangerous tiktok challenge thats circulating online according cnn affiliate gofundme account family,Others,Others
See pizza delivery guy take out suspect fleeing police,pizza guy delivers pie taking fleeing suspect cnns jeanne moos shows putting best foot forward,Others,Others
Netflix is winding down its DVD business after 25 years,netflix officially winding business helped make household name,Others,Others
FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams,artificial intelligence tools chatgpt could lead turbocharging consumer harms including fraud scams us government substantial authority crack aidriven consumer harms existing law members federal trade commission said tuesday,Others,Others
"Eating too much of these foods is driving the rise in type 2 diabetes, study says",gobbling many refined wheat rice products along eating whole grains fueling growth new cases type 2 diabetes worldwide according new study models data 2018,Others,Others
ADHD medication abuse in schools is a 'wake-up call',middle high schools united states 1 4 teens report theyve abused prescription stimulants attention deficit hyperactivity disorder year prior new study found,Others,Others
